Date,PKR,USD
2012-01-29,90.200062,1.0
2012-01-30,90.411791,1.0
2012-01-31,90.507233,1.0
2012-02-01,90.440884,1.0
2012-02-02,90.432508,1.0
2012-02-03,90.499951,1.0
2012-02-04,90.499951,1.0
2012-02-05,90.499951,1.0
2012-02-06,90.579902,1.0
2012-02-07,90.63164,1.0
2012-02-08,90.618538,1.0
2012-02-09,90.720209,1.0
2012-02-10,90.697473,1.0
2012-02-11,90.697473,1.0
2012-02-12,90.697473,1.0
2012-02-13,90.838734,1.0
2012-02-14,90.828923,1.0
2012-02-15,90.73224,1.0
2012-02-16,90.741536,1.0
2012-02-17,90.809394,1.0
2012-02-18,90.809394,1.0
2012-02-19,90.809394,1.0
2012-02-20,90.825006,1.0
2012-02-21,90.854259,1.0
2012-02-22,90.822551,1.0
2012-02-23,90.831232,1.0
2012-02-24,90.938551,1.0
2012-02-25,90.938551,1.0
2012-02-26,90.948549,1.0
2012-02-27,90.804682,1.0
2012-02-28,90.787084,1.0
2012-02-29,90.811783,1.0
2012-03-01,90.846555,1.0
2012-03-02,91.046758,1.0
2012-03-03,91.046758,1.0
2012-03-04,91.046758,1.0
2012-03-05,90.873078,1.0
2012-03-06,90.905154,1.0
2012-03-07,90.886408,1.0
2012-03-08,90.885719,1.0
2012-03-09,90.756553,1.0
2012-03-10,90.756553,1.0
2012-03-11,90.756553,1.0
2012-03-12,90.709341,1.0
2012-03-13,90.783075,1.0
2012-03-14,90.716692,1.0
2012-03-15,90.782272,1.0
2012-03-16,90.794774,1.0
2012-03-17,90.794774,1.0
2012-03-18,90.794774,1.0
2012-03-19,90.671961,1.0
2012-03-20,90.754598,1.0
2012-03-21,90.769324,1.0
2012-03-22,90.820789,1.0
2012-03-23,91.915094,1.0
2012-03-24,91.915094,1.0
2012-03-25,91.915094,1.0
2012-03-26,90.831393,1.0
2012-03-27,90.833893,1.0
2012-03-28,90.739394,1.0
2012-03-29,90.739394,1.0
2012-03-30,90.739394,1.0
2012-03-31,90.739394,1.0
2012-04-01,90.739394,1.0
2012-04-02,90.739394,1.0
2012-04-03,90.566442,1.0
2012-04-04,90.365679,1.0
2012-04-05,90.565647,1.0
2012-04-06,90.580646,1.0
2012-04-07,90.580646,1.0
2012-04-08,90.608146,1.0
2012-04-09,90.608146,1.0
2012-04-10,90.707971,1.0
2012-04-11,90.704129,1.0
2012-04-12,90.710005,1.0
2012-04-13,90.670325,1.0
2012-04-14,90.670325,1.0
2012-04-15,90.645323,1.0
2012-04-16,90.725821,1.0
2012-04-17,90.708543,1.0
2012-04-18,90.733243,1.0
2012-04-19,90.766522,1.0
2012-04-20,90.720116,1.0
2012-04-21,90.720116,1.0
2012-04-22,90.720116,1.0
2012-04-23,90.889717,1.0
2012-04-24,90.929855,1.0
2012-04-25,90.891357,1.0
2012-04-26,90.836652,1.0
2012-04-27,90.91265,1.0
2012-04-28,90.91265,1.0
2012-04-29,90.91265,1.0
2012-04-30,91.002902,1.0
2012-05-01,91.017902,1.0
2012-05-02,90.949459,1.0
2012-05-03,90.79243,1.0
2012-05-04,90.780833,1.0
2012-05-05,90.780833,1.0
2012-05-06,90.780833,1.0
2012-05-07,90.792581,1.0
2012-05-08,90.859408,1.0
2012-05-09,90.899947,1.0
2012-05-10,90.948472,1.0
2012-05-11,90.983064,1.0
2012-05-12,90.983064,1.0
2012-05-13,90.983064,1.0
2012-05-14,90.894327,1.0
2012-05-15,90.880699,1.0
2012-05-16,90.895271,1.0
2012-05-17,90.884061,1.0
2012-05-18,91.164851,1.0
2012-05-19,90.869849,1.0
2012-05-20,90.869849,1.0
2012-05-21,91.308744,1.0
2012-05-22,91.487298,1.0
2012-05-23,92.035315,1.0
2012-05-24,92.008652,1.0
2012-05-25,91.767358,1.0
2012-05-26,91.767358,1.0
2012-05-27,91.767358,1.0
2012-05-28,92.180348,1.0
2012-05-29,92.950272,1.0
2012-05-30,93.198993,1.0
2012-05-31,93.457132,1.0
2012-06-01,93.709865,1.0
2012-06-02,93.709865,1.0
2012-06-03,93.709865,1.0
2012-06-04,93.892442,1.0
2012-06-05,93.931641,1.0
2012-06-06,94.162548,1.0
2012-06-07,94.112262,1.0
2012-06-08,94.324965,1.0
2012-06-09,94.324965,1.0
2012-06-10,94.324965,1.0
2012-06-11,94.352085,1.0
2012-06-12,94.469599,1.0
2012-06-13,94.412958,1.0
2012-06-14,94.347193,1.0
2012-06-15,94.187535,1.0
2012-06-16,94.187535,1.0
2012-06-17,94.187535,1.0
2012-06-18,94.047223,1.0
2012-06-19,93.935596,1.0
2012-06-20,93.806326,1.0
2012-06-21,94.090034,1.0
2012-06-22,94.497619,1.0
2012-06-23,94.497619,1.0
2012-06-24,94.497619,1.0
2012-06-25,94.469865,1.0
